no2,co,pm10,pm25,AQI(NO2),AQI(CO),AQI(PM10),AQI(PM2.5),AQI(overall),Remarks
94.65481117361747,40.48256595926265,403.30054612008655,192.41282979631325,94,401,270,243,401,Hazardous
82.9029576396173,34.21544365752663,471.1701430543819,259.64040235379633,82,338,352,308,352,Hazardous
55.07521442393699,16.77820540897637,363.66757881628,152.37607211968495,52,209,213,203,213,Very Unhealthy
59.38266893516104,21.670756765419217,308.8921841581788,98.35378382709608,57,242,178,173,242,Very Unhealthy
31.84751757361828,6.082571341566813,102.74751164174272,59.60399226982924,30,67,75,153,153,Unhealthy
104.07196805805,45.50504963096,428.182637204177,217.5252481548,102,451,305,267,451,Hazardous
94.6689223778812,8.211467680886145,361.6331162134397,150.9454679129522,94,88,211,201,211,Very Unhealthy
82.01452013277613,31.223734316398133,324.87604641808105,114.33111446604607,81,308,186,181,308,Hazardous
69.30943175565952,23.795596564858133,299.0674495644906,116.36477251886508,67,256,173,182,256,Very Unhealthy
35.04425513762028,9.266595676607604,250.9885664604543,52.2212756881014,33,99,149,142,149,Unhealthy for Sensitive Groups
38.39756947342268,10.524088552533502,273.5741697662591,68.98784736711337,36,118,160,158,160,Unhealthy
55.74412989458627,17.02904871046985,348.33718405535603,155.72064947293137,53,211,197,206,211,Very Unhealthy
46.28058997883273,13.480221242062274,300.36683525383097,108.40294989416364,44,168,173,178,178,Unhealthy
37.94088557537104,10.352832090764135,245.4576254212193,66.70442787685516,36,115,146,157,157,Unhealthy
52.74423685757078,15.904088821589044,324.19799887710377,140.72118428785393,50,204,185,195,204,Very Unhealthy
35.51435973118539,11.508648437157785,458.2276570481112,244.867904190692,34,135,338,295,338,Hazardous
47.375877385865486,13.890954019699558,329.1569638914168,113.87938692932744,45,175,188,181,188,Unhealthy
50.93701992857514,15.226382473215676,314.6137145045178,131.68509964287568,48,197,181,190,197,Unhealthy
47.3204425028534,14.63351770952225,242.42551558330885,43.068141676178,45,187,144,120,187,Unhealthy
68.81779172841514,23.590746553506307,301.6956639368169,114.72597242805048,67,255,174,182,255,Very Unhealthy
70.20724735414132,24.169686397558884,306.5345263576254,119.35749118047106,68,259,177,184,259,Very Unhealthy
51.505641493983816,15.439615560243931,313.9494965955775,134.5282074699191,49,0,180,192,192,Unhealthy
100.42694882198307,41.27723895851203,408.1550872304048,196.6326431955555,0,409,277,247,409,Hazardous
37.07658910368468,10.028720913881752,254.67890390371392,62.38294551842337,35,110,0,155,155,Unhealthy
42.19995175516676,11.949981908187535,281.7527452175399,87.99975877583381,40,142,164,168,168,Unhealthy
